Cliente
ADMINISTRACION PROVINCIAL DE ENERGIA
BARALE Y GHIO S A C I F
BBC - CODELER - UT
BOSCO RENE GERMAN
BUNGE ARGENTINA S A
CEMENTOS AVELLANEDA S A
CENTRALES DE LA COSTA ATLANTICA SA
COFEKA CIA. LTDA.
CONCRET MIX S.A.
COOPERATIVA DE PROVISION DE ELECTRICIDAD
COOPERATIVA LIMITADA DE PROVISION DE SERVICIOS
CORPORACION LA UNION S.A
CS SUPPLY INTERNATIONAL, INC
DIRECCION PROVINCIAL DE ENERGIA DE CORRIENTES
DISTROCUYO S A
DOSEN SA
E.I.C. INGENIERIA SRL
EDELAR S.A
EDESUR S A
EMPRESA DISTRIBUIDORA DE ENERGIA ATLANTICA
EMPRESA DISTRIBUIDORA LA PLATA SOCIEDAD
EMPRESA DISTRIBUIDORA Y COMERCIALIZADOR
EMPRESA DISTRIBUIDORA Y COMERCIALIZADORA
ENERGIA DE ENTRE RIOS SOCIEDAD ANONIMA
ENERGIA DE ENTRE RIOS SOCIEDAD ANONIMA (
ENERSA
ENOD S A
G.P. SERVICIOS PETROLEROS SA
GIECO INGENIERIA Y CONSTRUCCIONES
GINSA SA
HUBER EDUARDO ROBERTO
INELSA SA
LUZCART S.R.L.
MAPER S.A.
MINISTERIO DE AGUA ENERGIA Y MEDIO AMBIENTE
NAPAL Y MU¥OZ S.A.
PALACIO ELECTRICO, SRL
PASTORINI PABLO RICARDO
PIRO' Y S.A.
PROOBRA S.A.
PROYECTOS Y OBRAS AMERICANAS S A
SHELL - CRUZ DE LORENA UTE
SHELL - GAS Y PETROLEO DEL NEUQUEN SA -MEDANITO
SIEMENS MOBILITY SPA
SIEMENS SOCIEDAD ANONIMA
SINEC SA
SINOPEC ARGENTINA EXPLORATION AND PRODUCTION
SISTEM MELESUR ARGENTINA S.A.U
TEL 3 S.A.
THOMAS ELECTRICAL SALES CORP
TRANSBA SA
YPF ENERGIA ELECTRICA S.A.
YPF SOCIEDAD ANONIMA
